V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,T1,T2
1.14,3.00,289.96,1349.49,6677.38,7.58,7.58,464.01,288.00,550.56,1.10,1.00,5.95,1.02,7.14,0.08,0.95,0.98
2.09,6.00,6960.18,1376.17,6828.47,28.20,28.20,635.40,288.00,581.66,1.33,1.00,7.28,1.02,10.66,0.29,0.95,0.98
3.14,9.00,8379.23,1386.76,7111.81,60.36,60.36,606.00,288.00,587.59,1.39,1.00,7.57,,13.09,0.26,0.95,0.98
4.16,12.00,14724.40,1547.47,7792.63,113.77,113.77,661.47,288.00,613.85,1.66,1.00,9.01,1.02,18.11,0.36,0.95,0.98
5.14,15.00,21636.43,1924.31,8494.78,175.31,175.31,731.49,288.00,645.64,2.08,1.00,11.20,1.03,26.37,0.52,0.95,0.98
6.18,18.00,29792.73,2307.40,8828.36,246.28,246.28,800.43,288.00,676.40,2.50,1.00,13.36,1.03,35.76,0.71,0.95,0.98
7.15,21.00,38982.18,2678.09,9132.43,332.08,332.08,854.75,288.00,699.95,2.96,1.00,15.68,1.04,45.88,0.91,0.95,0.98
8.21,24.00,50996.81,3087.56,9318.56,437.99,437.99,952.12,288.00,741.77,3.58,1.00,18.63,1.04,62.44,1.24,0.95,0.98
9.30,27.00,72763.33,3560.40,9778.53,644.91,644.91,1115.80,288.00,789.09,4.50,1.00,22.81,1.05,92.56,1.83,0.95,0.98
1.14,3.00,379.88,1355.38,6683.92,7.92,7.92,464.02,288.00,550.99,1.10,1.00,5.96,1.02,3.88,0.08,0.95,0.98
2.09,6.00,6969.18,1371.94,6828.44,27.42,27.42,635.96,288.00,581.44,1.33,1.00,7.27,1.02,12.79,0.29,0.95,0.98
3.14,9.00,8379.31,1386.76,7114.40,60.35,60.35,605.17,288.00,587.44,1.39,1.00,7.57,1.02,13.05,0.26,0.95,0.98
4.16,12.00,14724.54,1547.47,7794.65,113.80,113.80,660.57,288.00,613.69,1.66,1.00,9.00,1.02,18.07,0.36,0.95,0.98
5.14,15.00,21636.78,1924.31,8495.70,175.31,175.31,730.50,288.00,645.46,2.08,1.00,11.19,1.03,26.32,0.52,0.95,0.98
6.18,18.00,29792.98,2307.39,8829.39,246.30,246.30,799.30,288.00,676.17,2.50,1.00,13.34,1.03,35.69,0.71,0.95,0.98
7.15,21.00,38981.90,2678.09,9132.93,332.21,332.21,853.70,288.00,699.78,2.96,1.00,15.66,1.04,45.80,0.91,0.95,0.98
8.21,24.00,50997.23,3087.58,9318.94,438.10,438.10,951.07,288.00,741.61,3.58,1.00,18.61,1.04,62.34,1.23,0.95,0.98
9.30,27.00,72763.52,3560.40,9779.31,644.96,644.96,1114.89,288.00,788.95,4.50,1.00,22.78,1.05,92.45,1.83,0.95,0.98
1.14,3.00,753.02,1371.89,6697.84,8.86,8.86,473.67,288.00,553.14,1.12,1.00,6.05,1.02,0.00,0.09,0.95,0.98
2.09,6.00,6961.73,1371.06,6830.36,27.26,27.26,635.13,288.00,581.24,1.33,1.00,7.26,1.02,13.19,0.29,0.95,0.98
3.14,9.00,8379.46,1386.76,7116.99,60.36,60.36,604.34,288.00,587.29,1.39,1.00,7.56,1.02,13.02,0.26,0.95,0.98
4.16,12.00,14724.62,1547.47,7796.66,113.80,113.80,659.67,288.00,613.52,1.66,1.00,8.99,1.02,18.02,0.36,0.95,0.98
5.14,15.00,21636.93,1924.32,8496.61,175.28,175.28,729.50,288.00,645.27,2.08,1.00,11.17,1.03,26.26,0.52,0.95,0.98
6.18,18.00,29793.33,2307.38,8830.43,246.22,246.22,798.17,288.00,675.94,2.50,1.00,13.33,1.03,35.61,0.71,0.95,0.98
7.15,21.00,38981.43,2678.09,9133.43,332.11,332.11,852.66,288.00,699.60,2.96,1.00,15.64,1.04,45.72,0.91,0.95,0.98
8.21,24.00,50997.57,3087.60,9319.31,438.13,438.13,950.03,288.00,741.44,3.57,1.00,18.59,1.04,62.25,1.23,0.95,0.98
9.30,27.00,72764.57,3560.40,9780.10,645.08,645.08,1113.99,288.00,788.81,4.50,1.00,22.76,1.05,92.34,1.83,0.95,0.98
1.14,3.00,1341.72,1391.60,6714.11,10.02,10.02,490.66,288.00,556.62,1.14,1.00,6.19,1.02,0.00,0.11,0.95,0.98
